"0","4230"
"1","2710"
"2","1957"
"3","1385"
"4","1433"
"5","2035"
"6","5652"
"7","10316"
"8","12064"
"9","11268"
"10","9702"
"11","9097"
"12","9679"
"13","9361"
"14","10423"
"15","10564"
"16","8822"
"17","10637"
"18","13803"
"19","13312"
"20","11864"
"21","10844"
"22","9831"
"23","7383"
